ID_COTIZACION,ID_CENTRO_EMIS,NUM_POLIZA,POLIZA,ID_PRODUCTO,PRODUCTO,CUANTOS,PLAZO_PAGO,TIPO,VIGENCIA
160228,101,4296,101-0000004296-00,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,21,1,Años,1
160243,101,1138,101-0000001138-05,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,382,1,Años,1
160196,101,3055,101-0000003055-01,1399,VIDA GRUPO SIN DIVIDENDOS PARA DEUDORES DIVERSOS,95,1,Años,1
158439,101,2270,101-0000002270-01,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,29,1,Años,1
158025,101,1336,101-0000001336-03,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,16,1,Años,1
158324,101,1118,101-0000001118-04,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,100,1,Años,1
160123,101,1118,101-0000001118-05,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,95,1,Años,1
160193,101,2270,101-0000002270-02,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,28,1,Años,1
160192,101,3178,101-0000003178-01,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,489,1,Años,1
160022,101,4162,101-0000004162-02,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,164,1,Años,1
160055,101,4186,101-0000004186-00,1488,VIDA GRUPO TEMP A 1 AÑO EXP PROPIA,"2,885",1,Años,1
160051,101,4180,101-0000004180-00,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,159,1,Años,1
159792,101,4019,101-0000004019-00,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,204,1,Años,1
158790,101,3382,101-0000003382-00,1399,VIDA GRUPO SIN DIVIDENDOS PARA DEUDORES DIVERSOS,411,1,Años,1
159297,101,3699,101-0000003699-01,1399,VIDA GRUPO SIN DIVIDENDOS PARA DEUDORES DIVERSOS,"20,148",1,Años,1
158830,101,3393,101-0000003393-00,1399,VIDA GRUPO SIN DIVIDENDOS PARA DEUDORES DIVERSOS,"7,736",1,Años,1
158488,101,1381,101-0000001381-03,1399,VIDA GRUPO SIN DIVIDENDOS PARA DEUDORES DIVERSOS,575,1,Años,1
158873,101,3423,101-0000003423-00,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,55,1,Años,1
159358,101,2752,101-0000002752-01,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,260,1,Años,1
158399,101,3138,101-0000003138-00,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,44,1,Años,1
160201,101,3138,101-0000003138-01,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,48,1,Años,1
160198,101,2347,101-0000002347-02,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,12,1,Años,1
160153,101,789,101-0000000789-07,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,3,1,Años,1
158395,101,356,101-0000000356-09,1499,VIDA GRUPO EXPERIENCIA GLOBAL 2020,56,1,Años,1
